"","V1","V2","V3","V4","V5","V6","V7"
"sd22","0.707","1.169","2.121",NA,NA,NA,"1.183"
"median22","2.5","1.5","2.5","1",NA,NA,"2"
"range22","(2-3)","(1-4)","(1-4)","(1-1)","(Inf--Inf)","(Inf--Inf)","(1-4)"
"IQR22","0.5","1","1.5","0",NA,NA,"1.5"
"---23","2016","2017","2018","2019","2020","2021","Motor_4_12_mth"
"n23","2","6","2","1","0","0","11"
"mean23","2.5","2","1.75","2","NaN","NaN","2.045"
"sd23","0.707","0.894","0.354",NA,NA,NA,"0.723"
"median23","2.5","2","1.75","2",NA,NA,"2"
"range23","(2-3)","(1-3)","(1.5-2)","(2-2)","(Inf--Inf)","(Inf--Inf)","(1-3)"
"IQR23","0.5","1.5","0.25","0",NA,NA,"0.75"
"---24","2016","2017","2018","2019","2020","2021","Motor_5_12_mth"
"n24","2","6","2","1","0","0","11"
"mean24","2","1.667","2.5","1","NaN","NaN","1.818"
"sd24","1.414","1.033","2.121",NA,NA,NA,"1.168"
"median24","2","2","2.5","1",NA,NA,"2"
"range24","(1-3)","(0-3)","(1-4)","(1-1)","(Inf--Inf)","(Inf--Inf)","(0-4)"
"IQR24","1","0.75","1.5","0",NA,NA,"1.5"
"---25","2016","2017","2018","2019","2020","2021","Motor_Total_12_mth"
"n25","2","6","2","1","0","0","11"
"mean25","13","11.667","12.25","8","NaN","NaN","11.682"
"sd25","1.414","4.546","3.889",NA,NA,NA,"3.717"
"median25","13","10.5","12.25","8",NA,NA,"11"
"range25","(12-14)","(7-20)","(9.5-15)","(8-8)","(Inf--Inf)","(Inf--Inf)","(7-20)"
"IQR25","1","3.25","2.75","0",NA,NA,"4.25"
